h3_cell,lat,lon,period,query_timestamp,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score,tlc_yellow_trips,tlc_hvfhv_trips,tlc_trip_count,tlc_load_score,mta_ridership_total,mta_ridership_avg,mta_load_score,citibike_trip_count,citibike_load_score,avg_temperature_f,precip_mm,avg_wind_kmh,sunrise_hour,sunset_hour,day_length_hr,day_of_week,is_weekend,is_holiday,is_school_break,week_of_year,day_of_year,event_intensity_score,month_sin,month_cos,period_sin,period_cos,ensemble_log_pred,pedestrians_pred,crowd_score
892a100d693ffff,40.769046748442776,-73.96292571940788,PM,2026-06-29T17:08:39.271921,1,8,27,1,1,2,0,40,17.86,9419.0,29297.0,38716.0,26.55,7481.0,277.0740740740741,17.99,178,7.82,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.647931845389273,5697.3,88.4
892a100d697ffff,40.766462471951925,-73.96068475853083,PM,2026-06-29T17:08:39.271921,0,11,26,0,0,5,0,42,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,10.64,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.682968340204592,5900.5,88.8
892a100d69bffff,40.76893192952591,-73.96720336032945,PM,2026-06-29T17:08:39.271921,0,4,19,4,0,2,0,29,12.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612,26.99,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.32065584731058,4106.9,85.1
892a100d6a3ffff,40.75848077235944,-73.96251675513759,PM,2026-06-29T17:08:39.271921,0,20,21,2,1,0,0,44,19.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444,19.57,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.777933899552595,6488.5,89.7
892a100d6abffff,40.75836596602918,-73.9667934331769,PM,2026-06-29T17:08:39.271921,0,22,16,0,0,2,0,40,17.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784,34.58,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.706141097242973,6038.9,89.0
892a100d6afffff,40.75578211494534,-73.96455276235974,PM,2026-06-29T17:08:39.271921,0,9,11,2,0,2,0,24,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267,11.75,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.642034495159276,5663.8,88.3
892a100d6b3ffff,40.76117948077166,-73.96048051711963,PM,2026-06-29T17:08:39.271921,0,22,22,1,1,0,0,46,20.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540,23.81,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.743172478312417,6266.7,89.4
892a100d6bbffff,40.76106475034742,-73.96475743911911,PM,2026-06-29T17:08:39.271921,0,22,42,2,0,0,0,66,29.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.834453735395908,6865.8,90.3
892a100d6c3ffff,40.768701817203045,-73.97575862231947,PM,2026-06-29T17:08:39.271921,0,1,0,0,1,0,0,2,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,7.858719804182859,2587.2,80.3
892a100d6c7ffff,40.766117787428406,-73.9735169490824,PM,2026-06-29T17:08:39.271921,1,3,3,0,1,0,0,8,3.57,0.0,0.0,0.0,0.0,6043.0,251.79166666666663,14.52,1300,57.38,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.135794143134074,3413.5,83.2
