h3_cell,lat,lon
892a100d207ffff,40.73936041044821,-73.98531389573235
892a100d20bffff,40.74182760043736,-73.99183015572552
892a100d20fffff,40.73924475745148,-73.98958885298438
892a100d213ffff,40.74464196506794,-73.98552083929478
892a100d217ffff,40.74205891293701,-73.98327976027291
892a100d21bffff,40.74452630556438,-73.98979627753427
892a100d223ffff,40.734079205547104,-73.98510699874309
892a100d227ffff,40.73149649667317,-73.9828664471727
892a100d22bffff,40.733963559055724,-73.98938147511579
892a100d22fffff,40.73138093237353,-73.98714068654694
892a100d233ffff,40.736777529931615,-73.98307308046714
892a100d237ffff,40.73419469413901,-73.980832515579
892a100d23bffff,40.736661959147305,-73.98734780066862
892a100d243ffff,40.7442945126238,-73.99834713342568
892a100d247ffff,40.74171170725045,-73.99610534317284
892a100d24bffff,40.744178379188874,-74.00262255098242
892a100d24fffff,40.74159565610688,-74.00038052370404
892a100d253ffff,40.74699342036505,-73.99631351262427
892a100d257ffff,40.74441048808265,-73.99407170892711
892a100d25bffff,40.746877362614214,-74.00058917418733
892a100d263ffff,40.73643034382312,-73.9958972205727
892a100d267ffff,40.73384775466591,-73.99365594464955
892a100d26bffff,40.7363142992853,-74.00017192018016
892a100d26fffff,40.73373179237872,-73.9979304072968
892a100d273ffff,40.739128946516466,-73.99386380339365
892a100d277ffff,40.73654623044412,-73.99162251405302
892a100d27bffff,40.739012977644194,-73.9981387469125
892a100d283ffff,40.7474560713926,-73.97921079764829
892a100d287ffff,40.744872810136386,-73.97696994246623
892a100d28bffff,40.74734064563418,-73.98348648660567
892a100d28fffff,40.74475746659229,-73.98124539425626
892a100d293ffff,40.75015472731649,-73.97717597041498
892a100d297ffff,40.747571339150305,-73.97493510196136
892a100d29bffff,40.750039377343846,-73.98145190330818
892a100d2a3ffff,40.73959124262263,-73.97676396089017
892a100d2a7ffff,40.737008197739414,-73.97452361980322
892a100d2abffff,40.73947590550561,-73.98103893168508
892a100d2afffff,40.73689294279598,-73.97879835349616
892a100d2b3ffff,40.74228959359751,-73.97472933772691
892a100d2bbffff,40.74217433224768,-73.97900455236277
892a100d2c3ffff,40.74980820333916,-73.99000374878119
892a100d2c7ffff,40.74722506187608,-73.98776216878585
892a100d2cbffff,40.74969237930922,-73.99427966126574
892a100d2cfffff,40.747109320119364,-73.99203784414127
892a100d2d3ffff,40.75250713772062,-73.98796942281287
892a100d2d7ffff,40.74992386935106,-73.98572782944613
892a100d2dbffff,40.75239138943488,-73.99224557931602
892a100d30bffff,40.72374863863157,-73.9761462942413
892a100d30fffff,40.72116610888531,-73.97390674374046
892a100d31bffff,40.72644645532815,-73.97411232282562
892a100d343ffff,40.72621581321689,-73.98265986037387
892a100d347ffff,40.723633320786945,-73.98041982269942
892a100d34bffff,40.726100255400425,-73.98693361902893
892a100d34fffff,40.72351784512154,-73.98469334442134
892a100d353ffff,40.728913832547754,-73.98062614592236
892a100d357ffff,40.726331213193134,-73.9783860949569
892a100d35bffff,40.72879835041983,-73.98490014831133
892a100d363ffff,40.718353158911775,-73.98021354589461
892a100d367ffff,40.71577088302538,-73.9779740219053
892a100d36bffff,40.71823768970741,-73.98448658705743
892a100d36fffff,40.71565549593136,-73.98224682620025
892a100d373ffff,40.72105087315231,-73.97818003525298
892a100d377ffff,40.718468470335196,-73.97594049799939
892a100d37bffff,40.7209354796179,-73.98245332005493
892a100d3c3ffff,40.73172715163123,-73.97431794817466
892a100d3c7ffff,40.72914432322064,-73.97207812097184
892a100d3cbffff,40.73161190309275,-73.97859220103275
892a100d3cfffff,40.729029156815024,-73.97635213679334
892a100d3dbffff,40.73431002483043,-73.97655802567105
892a100d443ffff,40.763992736533424,-73.95416687579228
892a100d44bffff,40.76387824016054,-73.95844404827176
892a100d44fffff,40.761294053090886,-73.95620358859541
892a100d453ffff,40.76669147091129,-73.95212993210818
892a100d45bffff,40.76657705050458,-73.9564073485599
892a100d4cbffff,40.769390256202996,-73.95009275750891
892a100d4dbffff,40.77208909238706,-73.94805535196039
892a100d603ffff,40.7608348151879,-73.97331126335344
892a100d607ffff,40.75825100161534,-73.97107010462192
892a100d60bffff,40.76071961045465,-73.97758816549297
892a100d60fffff,40.758135879118974,-73.97534676942504
892a100d613ffff,40.763533802293004,-73.97127552650305
892a100d617ffff,40.76094986181916,-73.96903435454628
892a100d61bffff,40.76341867342425,-73.9755526726856
892a100d623ffff,40.75296855046801,-73.97086472899026
892a100d627ffff,40.750384953197305,-73.96862408455311
892a100d62bffff,40.752853434342555,-73.97514091252218
