h3_cell,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score
892a1072137ffff,0,2,2,0,0,0,0,4,1.79
892a1072183ffff,0,1,0,0,0,0,0,1,0.45
892a1072187ffff,0,10,9,0,2,0,0,21,9.38
892a1072193ffff,0,1,2,0,1,0,0,4,1.79
892a1072197ffff,0,9,3,0,1,2,0,15,6.7
892a10721a3ffff,0,15,13,1,1,0,0,30,13.39
892a10721a7ffff,0,21,16,0,1,0,0,38,16.96
892a10721afffff,0,5,2,0,0,1,0,8,3.57
892a10721b3ffff,0,35,20,3,5,2,3,68,30.36
892a10721b7ffff,2,24,18,2,2,0,0,48,21.43
892a10721bbffff,0,10,10,0,5,0,0,25,11.16
892a1072503ffff,0,0,1,0,0,0,0,1,0.45
892a1072507ffff,0,1,1,0,1,0,0,3,1.34
892a1072513ffff,0,5,2,1,1,0,0,9,4.02
892a1072517ffff,0,2,5,0,0,0,0,7,3.12
892a1072523ffff,0,9,18,4,0,0,0,31,13.84
892a1072527ffff,0,4,2,0,0,1,0,7,3.12
892a107252bffff,0,7,3,1,0,0,0,11,4.91
892a107252fffff,0,4,3,0,2,1,2,12,5.36
892a1072533ffff,0,9,7,4,2,0,0,22,9.82
892a1072537ffff,0,39,13,8,3,0,0,63,28.12
892a107253bffff,1,4,0,1,1,0,0,7,3.12
892a1072577ffff,0,0,0,1,0,0,0,1,0.45
892a1072583ffff,0,2,4,0,3,1,0,10,4.46
892a1072587ffff,0,14,11,0,1,0,0,26,11.61
892a107258fffff,0,4,4,2,0,0,1,11,4.91
892a1072593ffff,0,2,4,0,0,0,1,7,3.12
892a1072597ffff,0,6,6,3,0,1,0,16,7.14
892a10725a3ffff,0,37,24,1,10,1,0,73,32.59
892a10725a7ffff,0,66,59,5,9,1,0,140,62.5
892a10725abffff,0,2,7,0,1,0,0,10,4.46
892a10725afffff,0,34,15,0,13,0,0,62,27.68
892a10725b3ffff,0,71,20,0,3,2,1,97,43.3
892a10725b7ffff,1,40,26,2,6,0,1,76,33.93
892a10725bbffff,0,14,12,1,1,3,0,31,13.84
892a1072803ffff,1,2,3,2,0,1,0,9,4.02
892a1072807ffff,2,9,3,2,1,0,0,17,7.59
892a1072813ffff,2,24,17,6,4,1,0,54,24.11
892a1072817ffff,1,65,32,7,8,4,0,117,52.23
892a107281bffff,0,4,2,1,1,0,0,8,3.57
892a1072883ffff,4,65,76,15,5,1,0,166,74.11
892a1072887ffff,0,37,29,4,8,1,0,79,35.27
892a107288bffff,1,19,13,4,5,2,0,44,19.64
892a107288fffff,3,31,28,8,4,0,0,74,33.04
892a1072893ffff,3,6,5,3,2,2,0,21,9.38
892a1072897ffff,0,7,5,3,1,1,0,17,7.59
892a107289bffff,2,17,43,7,5,0,0,74,33.04
892a10728b3ffff,0,7,1,0,3,0,0,11,4.91
892a10728bbffff,0,29,18,7,6,0,0,60,26.79
892a10728c7ffff,0,4,5,1,1,0,0,11,4.91
892a10728d3ffff,0,12,0,1,1,0,0,14,6.25
