h3_cell,period,mta_ridership_total,mta_ridership_avg,mta_station_count,mta_transfers_total,mta_load_score,survey_date
892a100a177ffff,PM,1325.0,49.07407407407408,1,123.0,3.13,reference
892a100a1bbffff,AM,1152.0,60.63157894736842,1,75.0,2.71,reference
892a100a1bbffff,EARLY,421.0,15.035714285714286,1,17.0,0.95,reference
892a100a1bbffff,EVE,440.0,20.952380952380956,1,41.0,1.0,reference
892a100a1bbffff,MD,654.0,27.25,1,40.0,1.51,reference
892a100a1bbffff,NIGHT,86.0,9.555555555555555,1,2.0,0.14,reference
892a100a1bbffff,PM,902.0,36.08,1,65.0,2.11,reference
892a100aa07ffff,AM,2193.0,115.42105263157896,1,107.0,5.23,reference
892a100aa07ffff,EARLY,735.0,21.61764705882353,1,38.0,1.71,reference
892a100aa07ffff,EVE,879.0,38.21739130434783,1,46.0,2.06,reference
892a100aa07ffff,MD,1475.0,54.629629629629626,1,68.0,3.49,reference
892a100aa07ffff,NIGHT,117.0,10.636363636363637,1,5.0,0.22,reference
892a100aa07ffff,PM,1844.0,76.83333333333333,1,107.0,4.38,reference
892a100aa17ffff,AM,977.0,57.47058823529412,1,9.0,2.29,reference
892a100aa17ffff,EARLY,398.0,14.214285714285714,1,2.0,0.9,reference
892a100aa17ffff,EVE,302.0,13.130434782608695,1,4.0,0.66,reference
892a100aa17ffff,MD,534.0,19.77777777777778,1,5.0,1.22,reference
892a100aa17ffff,NIGHT,50.0,5.555555555555555,1,1.0,0.06,reference
892a100aa17ffff,PM,677.0,24.178571428571427,1,6.0,1.57,reference
892a100aa2fffff,AM,4442.0,201.9090909090909,1,120.0,10.65,reference
892a100aa2fffff,EARLY,1371.0,31.15909090909091,1,30.0,3.24,reference
892a100aa2fffff,EVE,1880.0,62.66666666666666,1,46.0,4.47,reference
892a100aa2fffff,MD,2844.0,98.06896551724138,1,52.0,6.8,reference
892a100aa2fffff,NIGHT,364.0,26.0,1,8.0,0.81,reference
892a100aa2fffff,PM,4050.0,130.6451612903226,1,104.0,9.71,reference
892a100aa33ffff,AM,614.0,32.31578947368421,1,22.0,1.42,reference
892a100aa33ffff,EARLY,220.0,10.0,1,18.0,0.47,reference
892a100aa33ffff,EVE,178.0,7.416666666666667,1,9.0,0.36,reference
892a100aa33ffff,MD,379.0,15.16,1,8.0,0.85,reference
892a100aa33ffff,NIGHT,27.0,3.857142857142857,1,2.0,0.0,reference
892a100aa33ffff,PM,437.0,18.20833333333333,1,13.0,0.99,reference
892a100aa83ffff,AM,3043.0,169.05555555555554,1,68.0,7.28,reference
892a100aa83ffff,EARLY,943.0,28.57575757575757,1,13.0,2.21,reference
892a100aa83ffff,EVE,2691.0,107.64,1,24.0,6.43,reference
892a100aa83ffff,MD,2812.0,104.14814814814817,1,50.0,6.72,reference
892a100aa83ffff,NIGHT,416.0,32.0,1,0.0,0.94,reference
892a100aa83ffff,PM,7040.0,227.0967741935484,1,61.0,16.92,reference
892a100aaafffff,AM,621.0,32.68421052631579,1,1.0,1.43,reference
892a100aaafffff,EARLY,221.0,8.185185185185185,1,0.0,0.47,reference
892a100aaafffff,EVE,265.0,11.041666666666666,1,1.0,0.57,reference
892a100aaafffff,MD,379.0,14.037037037037036,1,4.0,0.85,reference
892a100aaafffff,NIGHT,48.0,5.333333333333333,1,0.0,0.05,reference
892a100aaafffff,PM,450.0,18.0,1,6.0,1.02,reference
892a100ab57ffff,AM,787.0,35.77272727272727,1,20.0,1.83,reference
892a100ab57ffff,EARLY,237.0,8.777777777777779,1,8.0,0.51,reference
892a100ab57ffff,EVE,236.0,9.44,1,8.0,0.5,reference
892a100ab57ffff,MD,398.0,16.583333333333332,1,4.0,0.9,reference
892a100ab57ffff,NIGHT,42.0,3.5,1,0.0,0.04,reference
892a100ab57ffff,PM,535.0,21.4,1,10.0,1.23,reference
892a100ab7bffff,AM,2386.0,95.44,1,26.0,5.69,reference
892a100ab7bffff,EARLY,641.0,15.261904761904765,1,15.0,1.48,reference
892a100ab7bffff,EVE,1166.0,38.86666666666667,1,15.0,2.75,reference
892a100ab7bffff,MD,1592.0,53.06666666666667,1,14.0,3.78,reference
892a100ab7bffff,NIGHT,264.0,22.0,1,3.0,0.57,reference
892a100ab7bffff,PM,2552.0,79.75,1,30.0,6.09,reference
892a100abcbffff,AM,815.0,38.80952380952381,1,7.0,1.9,reference
892a100abcbffff,EARLY,279.0,7.75,1,1.0,0.61,reference
892a100abcbffff,EVE,244.0,11.090909090909092,1,4.0,0.52,reference
892a100abcbffff,MD,388.0,16.869565217391305,1,5.0,0.87,reference
892a100abcbffff,NIGHT,30.0,3.333333333333333,1,0.0,0.01,reference
892a100abcbffff,PM,532.0,20.46153846153846,1,11.0,1.22,reference
892a100ae17ffff,AM,1611.0,84.78947368421052,1,9.0,3.82,reference
892a100ae17ffff,EARLY,665.0,20.78125,1,1.0,1.54,reference
892a100ae17ffff,EVE,534.0,23.217391304347824,1,9.0,1.22,reference
